https://www.gwu.edu/,George Washington University,hgwu.edu,
http://welcome.miami.edu/,University of Miami,miami.edu,
http://www.uchicago.edu/,University of Chicago,uchicago.edu,
http://www.northeastern.edu/,Northeastern University,northeastern.edu,
https://www.rochester.edu/,University of Rochester,rochester.edu,
http://www.ufl.edu/,University of Florida,ufl.edu,
https://www.fordham.edu/,Fordham University,fordham.edu,
,,,
http://www.wfu.edu/,Wake Forest University,,
https://www.binghamton.edu/,Binghamton University,,
http://www.stonybrook.edu/,Stony Brook University,,
Spalding University,Spalding University,,Nop
https://www.sdsu.edu/,San Diego State University  San Diego,,
https://www.baylor.edu/,Baylor University,,Yes£¬only  23links
https://tulane.edu/,Tulane University of Louisiana ,,Change Ip and try again
https://ucsd.edu/,University of California-San Diego  La Jolla,,Nop
https://www.andrews.edu/,Andrews University,,
https://www.umd.edu/,University of Maryland-College Park  College Park,,
,,,
http://www.tcu.edu/,Texas Christian University  Fort Worth,,Nop
https://www.newark.rutgers.edu/,Rutgers University-Newark  Newark,,Nop
http://rpi.edu/,Rensselaer Polytechnic Institute  Troy,,
http://uconn.edu/,University of Connecticut  Storrs,,
http://www.usf.edu/,University of South Florida  Tampa,,
http://www.smu.edu/,Southern Methodist University  Dallas,,
https://www.umich.edu/,University of Michigan-Ann Arbor  Ann Arbor,,
https://www.syracuse.edu/,Syracuse University  Syracuse,,
http://www.utexas.edu/,The University of Texas at Austin  Austin,,
